ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009728678;80425;80;32;248000747.0;HEDAUVILLE;125;1.0;1218.0;5;80425
COMMUNE_0000000009729991;80158;80;32;200070985.0;BUVERCHY;46;;;5;80158
COMMUNE_0000000009748272;39558;39;27;200071116.0;VEVY;265;2.0;1883.0;5;39558
COMMUNE_0000000009731688;2767;2;32;240200477.0;VAUXREZIS;328;2.0;1975.0;5;02767
COMMUNE_0000000009745138;18170;18;24;200000933.0;OIZON;677;8.0;858.0;5;18170
COMMUNE_0000000009751341;16255;16;75;200072049.0;PARZAC;138;3.0;1137.0;5;16255
COMMUNE_0000000009754326;24513;24;75;242401024.0;SAINT VINCENT SUR L ISLE;297;2.0;894.0;5;24513
COMMUNE_0000000009757127;12256;12;76;200067361.0;SALVAGNAC CAJARC;381;1.0;450.0;5;12256
COMMUNE_0000000009754083;19236;19;75;241927201.0;SAINT PRIEST DE GIMEL;496;2.0;1197.0;5;19236
COMMUNE_0000000009730110;76251;76;28;200069847.0;ETALLEVILLE;460;3.0;1557.0;5;76251
COMMUNE_0000000009750150;17414;17;75;241700434.0;SAINT XANDRE;4718;61.0;2702.0;5;17414
COMMUNE_0000000009740370;88465;88;44;200068757.0;CAPAVENIR VOSGES;9033;117.0;1211.0;5;88465
COMMUNE_0000000009758579;12035;12;76;241200542.0;BRASC;164;;;5;12035
COMMUNE_0000000009748277;39334;39;27;200071116.0;MOIRON;132;2.0;1143.0;5;39334
COMMUNE_0000000009745517;44115;44;52;244400552.0;OUDON;3763;56.0;2174.0;5;44115
COMMUNE_0000000009728209;62013;62;32;200033579.0;AGNY;1931;26.0;1562.0;5;62013
COMMUNE_0000000009742382;56179;56;53;200042174.0;PONT SCORFF;3703;24.0;1927.0;5;56179
COMMUNE_0000000009759901;34172;34;76;243400017.0;MONTPELLIER;281613;891.0;2957.0;5;34172
COMMUNE_0000000009762566;31195;31;76;200073146.0;FRANCAZAL;28;;;5;31195
COMMUNE_0000000009760598;83073;83;93;248300550.0;LUC;10952;62.0;2449.0;5;83073
COMMUNE_0000000009736340;57266;57;44;245701206.0;GUEBLANGE LES DIEUZE;163;;;5;57266
COMMUNE_0000000009738261;54010;54;44;245400510.0;ALLAMPS;516;9.0;1216.0;5;54010
COMMUNE_0000000009737250;29093;29;53;242900793.0;KERNILIS;1466;8.0;1341.0;5;29093
COMMUNE_0000000009745486;49030;49;52;200071876.0;BLOU;998;6.0;1374.0;5;49030
COMMUNE_0000000009731495;50373;50;28;200042729.0;NEUVILLE AU PLAIN;91;1.0;1941.0;5;50373
COMMUNE_0000000009741372;53105;53;52;200033298.0;GESNES;229;2.0;1441.0;5;53105
